0 birthday;anonymized feature 1172, 1/2/2010
1 birthday;anonymized feature 208, 1/2/200
2 birthday;anonymized feature 0, 1/3/1998
3 birthday;anonymized feature 1, 1/5/1996
4 birthday;anonymized feature 209, 1/6/1995
5 birthday;anonymized feature 2, 1/7/1997
6 birthday;anonymized feature 3, 1/10/1980
7 birthday;anonymized feature 6, 2/1/1970
8 education;concentration;id;anonymized feature 1173, computer science
9 education;concentration;id;anonymized feature 13, bussiness
10 education;concentration;id;anonymized feature 384, marketing
11 education;concentration;id;anonymized feature 386, nursing
12 education;concentration;id;anonymized feature 14, computer science
13 education;concentration;id;anonymized feature 1009, bussiness
14 education;concentration;id;anonymized feature 388, marketing
15 education;concentration;id;anonymized feature 15, nursing
16 education;concentration;id;anonymized feature 389, mathamatics
17 education;concentration;id;anonymized feature 1174, physics
18 education;concentration;id;anonymized feature 338, biology
19 education;concentration;id;anonymized feature 392, business
20 education;concentration;id;anonymized feature 215, computer science
21 education;concentration;id;anonymized feature 1175, marketing
22 education;concentration;id;anonymized feature 1176, business
23 education;concentration;id;anonymized feature 395, computer science
24 education;concentration;id;anonymized feature 397, biology
25 education;concentration;id;anonymized feature 216, physics
26 education;concentration;id;anonymized feature 1177, nursing
27 education;concentration;id;anonymized feature 1178, computer science
28 education;concentration;id;anonymized feature 1179, nursing
29 education;concentration;id;anonymized feature 18, business
30 education;concentration;id;anonymized feature 1012, marketing
31 education;concentration;id;anonymized feature 1180, nursing
32 education;concentration;id;anonymized feature 1181, marketing
33 education;degree;id;anonymized feature 21, Public
34 education;degree;id;anonymized feature 1182, Private
35 education;degree;id;anonymized feature 22, Online
36 education;degree;id;anonymized feature 1183, Public
37 education;degree;id;anonymized feature 23, Private
38 education;degree;id;anonymized feature 1184, Online
39 education;degree;id;anonymized feature 223, Public
40 education;degree;id;anonymized feature 224, Private
41 education;degree;id;anonymized feature 437, Online
42 education;school;id;anonymized feature 225, UC Berkeley
43 education;school;id;anonymized feature 1185, UC Los Angel
44 education;school;id;anonymized feature 443, Harvard University
45 education;school;id;anonymized feature 1186, Standford University
46 education;school;id;anonymized feature 451, University of New York
47 education;school;id;anonymized feature 341, UC Berkeley
48 education;school;id;anonymized feature 315, UC Los Angel
49 education;school;id;anonymized feature 1187, Harvard university
50 education;school;id;anonymized feature 1188, Stanford University
51 education;school;id;anonymized feature 1189, Princeton University
52 education;school;id;anonymized feature 1190, Harvard University
53 education;school;id;anonymized feature 1191, Columbia University
54 education;school;id;anonymized feature 1192, Yale University
55 education;school;id;anonymized feature 1193, University of Chicago
56 education;school;id;anonymized feature 236, University of Pennsylvania
57 education;school;id;anonymized feature 1194, Johns Hopkins University
58 education;school;id;anonymized feature 1195, Northwestern University
59 education;school;id;anonymized feature 1196, Duke University
60 education;school;id;anonymized feature 1197, Dartmouth College
61 education;school;id;anonymized feature 1198, Brown University
62 education;school;id;anonymized feature 1199, Vanderbilt University
63 education;school;id;anonymized feature 44, Rice University
64 education;school;id;anonymized feature 1200, Cornell University
65 education;school;id;anonymized feature 1201, Emory University
66 education;school;id;anonymized feature 1202, Georgetown University
67 education;school;id;anonymized feature 1203, Carnegie Mellon University
68 education;school;id;anonymized feature 1204, University of Virginia
69 education;school;id;anonymized feature 1205, Wake Forest university
70 education;school;id;anonymized feature 1206, New York University
71 education;school;id;anonymized feature 1207, Tufts University
72 education;school;id;anonymized feature 1208, University of Florida
73 education;school;id;anonymized feature 861, University of Rochester
74 education;school;id;anonymized feature 246, Boston College
75 education;school;id;anonymized feature 50, Tulane University
76 education;school;id;anonymized feature 535, Boston University
77 education;school;id;anonymized feature 1209, Brandeis Univeristy
78 education;school;id;anonymized feature 52, University of Georgia
79 education;school;id;anonymized feature 537, Lehigh University
